RefDes,Qty,Category,Value,Manufacturer,MPN,LCSC_PN,Package,Footprint,Voltage_Rating,Tolerance,Power_Rating,Assembly,DNP,Notes,Datasheet
C_OUT2,1,Ceramic Capacitors,22uF,Samsung Electro-Mechanics,CL32B226KAJNNNE,C309062,1210,C1210 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,"22uF/25V X7R, 1210; verify DC-bias effective capacitance.",https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C309062
C_OUT3,1,Ceramic Capacitors,22uF,Samsung Electro-Mechanics,CL32B226KAJNNNE,C309062,1210,C1210 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,"22uF/25V X7R, 1210; verify DC-bias effective capacitance.",https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C309062
R_FB_TOP,1,Chip Resistor - Surface Mount,100k,UNI-ROYAL,0805W8F1003T5E,C149504,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C149504
R_FB_BOTTOM,1,Chip Resistor - Surface Mount,24.9k,UNI-ROYAL,0805W8F2492T5E,C17571,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Vout=1V*(1+100k/24.9k)=5.016V.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17571
R_PG,1,Chip Resistor - Surface Mount,100k,UNI-ROYAL,0805W8F1003T5E,C149504,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Open drain PG pulled to 3V3; debug test point only.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C149504
U_LDO,1,"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",3V3 LDO,DIODES,AP7361C-33SP-13,C4943338,ESOP-8,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP [UNVERIFIED],,,,SMT_TOP,NO,"AP7361C SO-8EP (SP), EN=IN. Thermal design limits continuous current.",https://datasheet.lcsc.com/datasheet/pdf/ede62dc0e0b0cdea60995fdce24a9165.pdf?productCode=C4943338
C_LDO_IN,1,Ceramic Capacitors,10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE,C15850,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15850
C_LDO_OUT,1,Ceramic Capacitors,10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE,C15850,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15850
R_LED,1,Chip Resistor - Surface Mount,470R,UNI-ROYAL,0805W8F4700T5E,C17710,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,About 1mA at Vf=2.83V; verify LED batch at low current.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17710
LED_PWR,1,LED Indication - Discrete,BLUE,Orient,ORH-B35A,C205441,0805,LED0805-R-RD [UNVERIFIED],,,,SMT_TOP,NO,BLUE 0805; silk PWR.,https://datasheet.lcsc.com/datasheet/pdf/4ccd793e0537a8e53b7b3f15c5c9c51e.pdf?productCode=C205441
U_MCU,1,Microcontrollers,STM32F407VET6,ST,STM32F407VET6,C28730,LQFP-100(14x14),LQFP-100_L14.0-W14.0-P0.50-LS16.0-BL [UNVERIFIED],,,,SMT_TOP,NO,All unused GPIO explicitly no-connect; no pin reassignment.,https://datasheet.lcsc.com/datasheet/pdf/eded9b3eda904d8bb3a84cf2887d6a5f.pdf?productCode=C28730
C_VDD11,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 11.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VDD19,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 19.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VDD28,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 28.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VDD50,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 50.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VDD75,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 75.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VDD100,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Place directly at U_MCU pin 100.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_MCU_BULK,1,Ceramic Capacitors,10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE,C15850,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15850
C_VBAT,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,VBAT tied to 3V3; no battery backup.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_VCAP1,1,Ceramic Capacitors,2.2uF,Samsung Electro-Mechanics,CL21A225KAFNNNE,C87994,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,2.2uF low-ESR <=2ohm. NEVER connect VCAP to 3V3.,https://datasheet.lcsc.com/datasheet/pdf/cc213578a492448787051d6bc0e87012.pdf?productCode=C87994
C_VCAP2,1,Ceramic Capacitors,2.2uF,Samsung Electro-Mechanics,CL21A225KAFNNNE,C87994,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,2.2uF low-ESR <=2ohm. NEVER connect VCAP to 3V3.,https://datasheet.lcsc.com/datasheet/pdf/cc213578a492448787051d6bc0e87012.pdf?productCode=C87994
R_AVDD,1,Chip Resistor - Surface Mount,0R,UNI-ROYAL,0805W8F0000T5E,C17477,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,0R feed; footprint can accept ferrite only after current/impedance review.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17477
C_AVDD_HF,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_AVDD_BULK,1,Ceramic Capacitors,1uF,Samsung Electro-Mechanics,CL21B105KBFNNNE,C28323,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C28323
R_BOOT0,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
R_BOOT1,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,PB2 boot strap low; currently unused by firmware.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
R_RESET,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
C_RESET,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,SWD reset access; no optional reset button fitted.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
Y1,1,Crystals,8MHz CL12pF,SOSET,5032 8M 12PF 20PPM 4P,C5181482,SMD5032-4P,CRYSTAL-SMD_4P-L5.0-W3.2-BL_ECS [UNVERIFIED],,,,SMT_TOP,NO,8MHz CL12pF ESR80ohm max; 5032. Pads 2/4 case ground.,https://datasheet.lcsc.com/datasheet/pdf/4ede9566961a29c7940ef999c46fe124.pdf?productCode=C5181482
C_HSE_IN,1,Ceramic Capacitors,18pF,FH,0805CG180J500NT,C1797,0805,C0805 [UNVERIFIED],50V,±5%,,SMT_TOP,NO,C1=C2=18pF with estimated Cstray=3pF gives CL=12pF; verify startup/drive.,https://datasheet.lcsc.com/datasheet/pdf/09fe2daf22580a99fa7fea93ccb20fb7.pdf?productCode=C1797
C_HSE_OUT,1,Ceramic Capacitors,18pF,FH,0805CG180J500NT,C1797,0805,C0805 [UNVERIFIED],50V,±5%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/09fe2daf22580a99fa7fea93ccb20fb7.pdf?productCode=C1797
U_CAN,1,"Drivers, Receivers, Transceivers",CAN 5V / 3V3,SIT,SIT1042AQT/3,C5382542,SOP-8,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL [UNVERIFIED],,,,SMT_TOP,NO,SIT1042AQT/3 SOP8; STB LOW normal/high-speed; CAN1 1Mbps.,https://datasheet.lcsc.com/datasheet/pdf/54c3cce6c41d58bd4bf29d90c12accc3.pdf?productCode=C5382542
R_STB,1,Chip Resistor - Surface Mount,0R,UNI-ROYAL,0805W8F0000T5E,C17477,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17477
C_CAN_VCC_HF,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_CAN_VCC,1,Ceramic Capacitors,1uF,Samsung Electro-Mechanics,CL21B105KBFNNNE,C28323,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C28323
C_CAN_VIO_HF,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_CAN_VIO,1,Ceramic Capacitors,1uF,Samsung Electro-Mechanics,CL21B105KBFNNNE,C28323,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C28323
R_TERM,1,Chip Resistor - Surface Mount,120R,UNI-ROYAL,0805W8F1200T5E,C17437,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,FIXED 120ohm. Main controller is a physical bus end. No switch/jumper.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17437
D_CAN_H,1,TVS Diodes,SMAJ13CA,DIODES,SMAJ13CA-13-F,C134951,SMA,SMA_L4.4-W2.6-LS5.0-BI [UNVERIFIED],,,,SMT_TOP,NO,Bidirectional SMAJ13CA; verify capacitive loading at 1Mbps.,https://datasheet.lcsc.com/datasheet/pdf/3c9d77b4a0a6f95a3a2d0836916a6837.pdf?productCode=C134951
D_CAN_L,1,TVS Diodes,SMAJ13CA,DIODES,SMAJ13CA-13-F,C134951,SMA,SMA_L4.4-W2.6-LS5.0-BI [UNVERIFIED],,,,SMT_TOP,NO,Bidirectional SMAJ13CA; no substitution in Rev.A.,https://datasheet.lcsc.com/datasheet/pdf/3c9d77b4a0a6f95a3a2d0836916a6837.pdf?productCode=C134951
J_CAN,1,"Headers, Male Pins",GH1.25 3P,JST,SM03B-GHS-TB(LF)(SN),C514175,"SMD,P=1.25mm,Surface Mount,Right Angle",CONN-TH_SM03B-GHS-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,JST GH 1.25mm; numbered pin order is harness contract.,https://datasheet.lcsc.com/datasheet/pdf/895c7a62b0771fc9d108814674460a56.pdf?productCode=C514175
J_TF,1,PC Card Sockets,microSD + CD,Korean Hroparts Elec,TF-01A,C91145,SMD,TF-SMD_TF-01A [UNVERIFIED],,,,SMT_TOP,NO,"HRO TF-01A: contact Cd=9, closes to grounded shell when inserted. All shell pins GND; library pad audit required.",https://datasheet.lcsc.com/datasheet/pdf/7650eac21a54674b08ad4ba21e17fceb.pdf?productCode=C91145
R_SD_D0,1,Chip Resistor - Surface Mount,47k,UNI-ROYAL,0805W8F4702T5E,C17713,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,SD pull-up 47k in 10k..100k range; CLK has none.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17713
R_SD_D1,1,Chip Resistor - Surface Mount,47k,UNI-ROYAL,0805W8F4702T5E,C17713,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,SD pull-up 47k in 10k..100k range; CLK has none.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17713
R_SD_D2,1,Chip Resistor - Surface Mount,47k,UNI-ROYAL,0805W8F4702T5E,C17713,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,SD pull-up 47k in 10k..100k range; CLK has none.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17713
R_SD_D3,1,Chip Resistor - Surface Mount,47k,UNI-ROYAL,0805W8F4702T5E,C17713,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,SD pull-up 47k in 10k..100k range; CLK has none.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17713
R_SD_CMD,1,Chip Resistor - Surface Mount,47k,UNI-ROYAL,0805W8F4702T5E,C17713,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,SD pull-up 47k in 10k..100k range; CLK has none.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17713
R_SD_CLK,1,Chip Resistor - Surface Mount,33R,UNI-ROYAL,0805W8F330JT5E,C17634,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Place near MCU PC12; 4-bit SDIO currently 8MHz.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17634
R_SD_DETECT,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Active-low mechanical detect independent of DAT3.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
C_SD_HF,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
C_SD_BULK,1,Ceramic Capacitors,10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE,C15850,0805,C0805 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15850
J_OLED,1,"Headers, Male Pins",PH2.0 4P,JST,S4B-PH-SM4-TB(LF)(SN),C265102,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_S4B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,"SSD1306 1.3in 128x64, I2C address0x3C; short harness.",https://datasheet.lcsc.com/datasheet/pdf/6c6fce4367275d84ec6a99bf09f1250f.pdf?productCode=C265102
R_SCL,1,Chip Resistor - Surface Mount,4.7k,UNI-ROYAL,0805W8F4701T5E,C17673,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Default fitted; DNP only if module already has suitable strong pull-ups.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17673
R_SDA,1,Chip Resistor - Surface Mount,4.7k,UNI-ROYAL,0805W8F4701T5E,C17673,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Default fitted; verify 400kHz rise time and total pull-up resistance.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17673
J_ENCODER,1,"Headers, Male Pins",PH2.0 3P,JST,S3B-PH-SM4-TB(LF)(SN),C265101,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_S3B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,Mechanical encoder A/B only; no push switch.,https://datasheet.lcsc.com/datasheet/pdf/6c6fce4367275d84ec6a99bf09f1250f.pdf?productCode=C265101
R_ENC_A,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
R_ENC_B,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
J_FORWARD,1,"Headers, Male Pins",PH2.0 2P,JST,S2B-PH-SM4-TB(LF)(SN),C295747,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,Active LOW. SoftStop is NOT hardware E-STOP.,https://datasheet.lcsc.com/datasheet/pdf/2474e9261ed7c5f86b55d373e724589d.pdf?productCode=C295747
R_FORWARD,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Software debounce; no default RC capacitor.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
J_BACK,1,"Headers, Male Pins",PH2.0 2P,JST,S2B-PH-SM4-TB(LF)(SN),C295747,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,Active LOW. SoftStop is NOT hardware E-STOP.,https://datasheet.lcsc.com/datasheet/pdf/2474e9261ed7c5f86b55d373e724589d.pdf?productCode=C295747
R_BACK,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Software debounce; no default RC capacitor.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
J_SOFTSTOP,1,"Headers, Male Pins",PH2.0 2P,JST,S2B-PH-SM4-TB(LF)(SN),C295747,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,Active LOW. SoftStop is NOT hardware E-STOP.,https://datasheet.lcsc.com/datasheet/pdf/2474e9261ed7c5f86b55d373e724589d.pdf?productCode=C295747
R_SOFTSTOP,1,Chip Resistor - Surface Mount,10k,UNI-ROYAL,0805W8F1002T5E,C17414,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,Software debounce; no default RC capacitor.,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17414
J_HX711,1,"Headers, Male Pins",PH2.0 4P,JST,S4B-PH-SM4-TB(LF)(SN),C265102,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_S4B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,Remote HX711 close to load cell. 3.3V only; DOUT must not be 5V.,https://datasheet.lcsc.com/datasheet/pdf/6c6fce4367275d84ec6a99bf09f1250f.pdf?productCode=C265102
R_HX_DOUT,1,Chip Resistor - Surface Mount,33R,UNI-ROYAL,0805W8F330JT5E,C17634,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17634
R_HX_SCK,1,Chip Resistor - Surface Mount,33R,UNI-ROYAL,0805W8F330JT5E,C17634,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17634
C_HX_LOCAL,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,Board-side connector decoupling; remote HX711 requires its own local capacitors.,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
